downstream,upstream,gage
13324644,13324482,05413500
11930608,11930656,04040500
11937967,11937121,04043050
12105172,12104416,03182500
1319346,1319458,09065500
10025778,10025674,09404450
10115408,10115362,06911900
13803636,13803686,05585000
10207781,10207747,03340800
1319492,1319776,09066000
10116938,10116418,06910800
12194350,12194460,02384540
12222394,12221970,04056500
14156822,14156576,05123400
10294658,10294472,01170100
13660337,13660475,07315200
10161380,10161328,03291780
1017863,1017529,07346045
12034215,12032745,02152100
1215111,1215191,10234500
14172507,14172599,05120500
10327559,10327171,10166430
1326129,1326177,09081600
10365710,10365194,02327100
13313347,13313377,05412500
10300593,10302615,03300400
10294790,10294744,01169000
11834170,11830552,07060710
1238069,1238561,09035900
14267518,14267944,05056000
10396901,10396961,10172700
10339194,10337480,03346000
12103728,12103712,03180500
1314057,1314041,09047700
10510478,10511464,02082950
10525953,10527073,02108000
12069362,8020864,11383500
12186625,12186499,04045500
14268912,14268890,05057000
10606012,10605634,05444000
1057297,1056637,02221525
12120376,12120528,04124000
1319264,1319492,09066200
14364090,14363914,01596500
10634089,10634593,08194200
13324444,13324242,05414000
10645757,10644465,08196000
13624581,13624441,05408000
10646927,10645861,08198500
10645809,10644469,08195000
1333580,1332864,09107000
10654655,10653835,08200000
13399933,13401027,05393500
10695801,10695881,10249300
11916237,11915297,05454000
12232336,12232936,04115265
14396122,14397552,06404000
10786414,10786484,10316500
13771804,13771684,05592050
10655699,10655609,08202700
13753663,13753157,07301410
10819236,10818058,10173450
12770867,12771561,06289000
10833752,10834592,08178880
10977039,10976797,02092500
13698839,13698885,08079600
11015951,11015941,02231342
13869102,13869048,05592575
1319236,1319104,09066300
10996215,10995977,02235200
13740009,13740097,07299670
11049784,11049592,03049800
11136380,11136088,10329500
13802764,13802664,05584500
11339059,11338885,10244950
12068316,8020744,11381500
13781558,13781602,05595730
14396296,14396384,06406000
11468876,11468984,06470800
13756263,13755585,07301500
11654354,11654314,06464500
11673184,11673194,06453600
12804154,12805122,06278300
12900470,12900488,06224000
14597039,14599677,10242000
11688320,11687408,01583500
11688556,11688466,01586610
12036605,12036513,02149000
1318986,1318912,394220106431500
14733222,14733192,05399500
11730052,11729992,02196000
13771078,13771526,05591550
11817455,11818949,07056000
11907450,11907202,01591400
16806507,16809827,02296500
11868290,11868130,03384450
11959342,11958236,04057800
14269114,14269090,05057200
12502971,12503395,04127997
12570206,12570178,06468170
13872672,13872792,05593575
12576066,12576050,06468250
13881458,13881320,05593900
15078400,15078152,08014500
1493958,1487640,08066300
12664628,12664640,06477500
1275886,1275832,08050800
12788120,12788160,06280300
12981415,12981345,05362000
14836139,14835893,05556500
12901000,12900776,06221400
13454034,13454114,05525500
18105240,18105048,02479155
18156767,18156609,02472500
18227465,18227265,02464360
20177979,20178047,06450500
1487590,1487554,08066200
18578815,18578627,02450250
14882597,14882561,11253310
14883275,14883119,11224500
18208372,18215690,02465493
18880764,18880736,06878000
15085613,15084071,08013000
1520079,1520241,08070200
1799885,1799937,04024430
18227503,18227451,02464146
20415896,20415648,09513780
1520241,1519917,08070000
15380059,15379973,03144000
18693133,18695961,02430085
15400174,15400106,03140000
19017107,19016863,06853800
15513296,15513160,04256000
15547875,15549909,04224775
15550119,15550145,04221000
18075848,18075618,02481510
18260323,18260313,02231000
20435308,20435234,09505800
15569747,15569761,04216418
15612418,15612396,04197100
19104903,19105599,07295000
15613810,15613920,04196800
15662066,15661960,04185000
19110782,19108520,07291000
15893894,15893750,09484000
15894414,15894432,09484600
1919682,1919456,03237500
19138465,19138129,07290650
15907989,15907843,09480000
19751209,19752385,03471500
15968453,15968765,06632400
15983511,15983417,06622700
15984777,15985473,06623800
20091016,20090236,07376000
16131669,16133041,06440200
18070114,18069700,02481000
19112974,19112480,07292500
20439860,20440684,09510200
16213240,16213152,06350000
1623227,1623553,08175000
16233377,16233371,06344600
1827300,1827460,03285000
19158244,19157896,06814000
16247337,16247649,06339500
16248121,16248101,06339100
1631031,1629577,08171300
18927902,18928282,07375000
19439919,19439777,03159540
20454582,20453950,09505200
1638575,1638605,08176900
165912326,5542144,08082700
166174245,6730961,01078000
19334485,19334431,01052500
16662827,16662887,02245500
19489966,19490048,03463300
20179473,20180465,06447500
20487062,20487048,09494000
166743977,2000176,02315500
19376624,19376808,07373000
16807517,16809451,02297310
18094325,18094273,02479560
18354205,18354723,09210500
20573331,20572207,09386900
16808203,16808273,02298123
19736013,19736195,03504000
16811859,16805089,02297155
16837126,16837024,02298608
19506226,19504824,03604000
16877262,16876968,02299950
1997546,1997510,02314500
16918194,16918650,02300700
19621434,19620320,03574500
16949660,16949536,02312200
18106868,18107232,02479300
18450629,18451109,03366500
16955674,16955328,02310947
17034219,17032789,09352900
19751693,19751653,03473000
17078423,17078561,11284400
19735939,19735897,03500000
19735939,19735897,03500240
1722313,1722249,01031500
19743826,19743366,03479000
17356977,17356979,06784000
1813283,1814617,04027000
18454647,18454419,03364500
17399475,17399425,06803530
20453830,20453634,09505350
1748585,1748557,01413500
20059876,20059312,07208500
17533791,17533411,06409000
17405835,17405921,06803510
19761978,19761410,03488000
17611573,17610081,11124500
20920711,20920869,07180500
