basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01078000,0.004984973625852713,-14.314644925626071,0.061294622381223865,0.00038056834521788083,0.019508160990156936,0.016240571753444975,-2.380909835822106,0.31818036265712074,True,True
01170100,0.0073746416531355165,-6.36597713345597,0.11953176348055612,0.00040060116724182,0.020015023538377866,0.017107049503282207,-0.7044638129912486,0.5971947288231351,True,True
01195100,0.009691993439698808,-1.034826594996161,0.32950811807462266,0.0001911409007061587,0.013825371629947555,0.010991948220081742,-16.024705434735868,0.49162745213344483,True,True
02014000,0.004141553396481093,-28.24470869322436,0.03306363470526755,0.0005016188287233766,0.02239684863375597,0.020953861831966278,-9.110587954114065,0.42339006738173635,True,True
02374500,0.006482397681806576,-23.035453334091837,0.03994335499562365,0.0010100053144812082,0.03178058077633586,0.030700947589354804,-2.0094627291008353,0.40767828358594144,True,True
04063700,0.006272409328713661,-31.474521943722323,0.02987346620457222,0.0012776489743807672,0.03574421595700159,0.03533630144916104,-7.322769528226461,0.473960893645586,True,True
06280300,0.0037125440810362093,-194.58757527507638,0.005086791464825505,0.0026957803333121145,0.05192090458873107,0.05161979621149001,-30.48906148648674,0.19313288455223246,True,True
06339500,0.009292393223263444,-34.752808561587145,0.027208804963144175,0.003087203957695054,0.05556261294877207,0.0547914329624002,-70.54583758473366,0.2901731421477863,True,True
07184000,0.00034239513203574974,-5984.5163259196,0.0001670420567752128,0.0007017085734270855,0.02648978243449888,0.01998719990113641,-2328.257101757886,0.38759392752958166,True,True
07292500,0.003339854037426359,-192.0289611550869,0.005153869783391265,0.002153165674147748,0.046402216263318155,0.03918965562405237,-27.13379205931673,0.2163210192700505,True,True
08380500,0.0016370658380737775,-225.22781230306825,0.004400869725692892,0.0006062870436049213,0.024622896734643577,0.0245261211440082,-2920.2376150072964,0.0714736741122097,True,True
10242000,0.005706232876400874,-10.322583393769671,0.08115181435944695,0.0003686756981280525,0.019200929616246514,0.018139891592450275,-23.585150597522464,0.14396937970727894,True,True
10259200,0.0018813203329935174,-59.021033466849865,0.016387791933141504,0.00021243641686162945,0.014575198690296796,0.01364204267334559,-1000.5426606442772,0.40204365073521525,True,True
11151300,0.0005818957095809165,-1289.1187881740652,0.0007745220727631319,0.00043683759769558186,0.02090066022152367,0.02068149183412307,-3671.064644123804,0.06278388505196458,True,True
11274500,0.008167022148338855,-16.8927079541176,0.05293047467989116,0.0011934481075200941,0.03454631829182517,0.03374798287163497,-33.103930733985905,0.4726494717128792,True,True
12374250,0.009882490770544487,-4.960322986237015,0.14367149369035725,0.0005821067420325399,0.02412688836200267,0.02169593106796377,-1.4417271878404971,0.22346268962899682,True,True
