basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01169000,0.0026515803079340938,-19.905976023134997,0.04564964368370967,0.00014698736959531955,0.012123834772683086,0.010468020695032613,-205.99540144633343,0.16522447687025593,True,True
01170100,0.005063304182572443,-12.102575146021714,0.0709090353815343,0.00033591136425822064,0.01832788488228308,0.01693291920324399,-1.3739606144089263,0.3060349450535201,True,True
01181000,0.00951785239829472,-3.2882695148725993,0.18909777521505372,0.00038847225243570575,0.0197096994506691,0.016688661884292202,-0.6400211379212097,0.38488106539044725,True,True
01439500,0.0018973824588729288,-147.23555682001304,0.0067008159537077314,0.0005336569276267708,0.023101015727166,0.02199936134821026,-4.312062520762485,0.23200594893390922,True,True
01487000,0.009598833308328052,-6.124833907715202,0.12307943908249215,0.0006564651029329639,0.025621574950282895,0.01945196310772323,-0.6930294271769963,0.3052941666307462,True,True
01664000,0.007342807639063833,-5.634700606984727,0.1309809056670977,0.00035772198508067336,0.018913539729005602,0.017034296703296207,-0.8520773557495394,0.2689716741011456,True,True
02018000,0.004560271866803382,-2.3025682631652202,0.23241932232920381,6.86804721521814e-05,0.008287368228344956,0.0073352717999092204,-8.012166201290968,0.3889810224120139,True,True
02046000,0.008536307782515554,-2.550510813145018,0.21975554856639595,0.0002587205766937998,0.01608479333699379,0.007835728578574936,-0.14793145723823975,0.2572785853837563,True,True
02055100,0.005480054574838702,-3.715010735763819,0.17497779903406405,0.0001415964786509412,0.011899431862527773,0.008921060046088364,-33.72337785591011,0.30317650161544735,True,True
02081500,0.008111918633970516,-1.1359618890986973,0.3188814262941852,0.00014055317848182933,0.011855512577777028,0.00948749878194538,-13.565028625450315,0.3569915733300649,True,True
02384540,0.0052396863057972455,-8.281684518851517,0.09726032715422218,0.00025482226807881905,0.01596315345033114,0.0112627633314037,-23.557097007971826,0.2414199343713298,True,True
03028000,0.009337181636086031,-0.4997365300933394,0.400042159628183,0.00013075147127132123,0.011434660960051296,0.007618994573177321,-0.07639951008339496,0.24517136750371335,True,True
