basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01078000,0.004984973625852713,-3.2674733935342095,0.18984433812755347,0.000106046551880618,0.010297890652003351,0.00703544839770029,-0.663184611195988,0.3881769477801513,True,True
01170100,0.0073746416531355165,-3.115199238067321,0.19549580641121433,0.00022380650772247895,0.014960164027258489,0.007791466623828347,-0.4097161316903266,0.6276662249815735,True,True
01195100,0.009691993439698808,0.056082121841634525,0.5144250234209394,8.866667747881314e-05,0.009416298502002426,0.004289079293441673,-4.059559466054077,0.5577673533581065,True,False
02014000,0.004141553396481093,-6.694648739332061,0.11501327195385029,0.0001319821896176322,0.011488350169525308,0.007546462901159907,-3.00499328611843,0.37138546793405935,True,True
02374500,0.006482397681806576,-0.7196637637491428,0.3676925115998414,7.226281594796546e-05,0.00850075384586364,0.005151582107526547,0.21844722643037928,0.3259882073401264,True,True
04063700,0.006272409328713661,-0.09858235105480007,0.4765121556928062,4.32216559347784e-05,0.006574317906427891,0.0048559744407150746,-0.20657829363061797,0.63013727442571,True,True
06280300,0.0037125440810362093,-0.8853268813657242,0.34658118165338186,2.5985429399093495e-05,0.0050975905483957315,0.004388573301270815,-0.5243492988350491,-0.07569745285275806,True,True
06339500,0.009292393223263444,-0.3214018516775481,0.43077418900021797,0.00011410116268704694,0.010681814578387275,0.006744455003415292,-6.652584344944335,0.270728051867349,True,True
07184000,0.00034239513203574974,-6084.87193732071,0.00016428799723362922,0.0007134737059699087,0.026710928586814585,0.012810804685764645,-1865.6574847445838,0.5089487708030093,True,True
07292500,0.003339854037426359,-19.608235083394824,0.04627865238139996,0.00022987713408809238,0.015161699577820832,0.007632528947982311,-4.811956091626221,-0.029105298470175518,True,True
08380500,0.0016370658380737775,-8.972332019849016,0.0911383284967128,2.6725695822321103e-05,0.005169690108925399,0.00371604023192545,-439.5001040781758,0.047255519014050625,True,True
10242000,0.005706232876400874,-0.879836863111265,0.3472418916534176,6.120954412716001e-05,0.007823652863411057,0.004024756740771888,-3.1388314704308033,0.17695456120882913,True,True
10259200,0.0018813203329935174,-23.813173545047796,0.03873990922715692,8.78229076443189e-05,0.009371387711770275,0.0048181807308231815,-325.6819190239644,0.5226559803613295,True,True
11151300,0.0005818957095809165,-81.47719405676953,0.011979319756722293,2.792699373630888e-05,0.005284599676069029,0.005010789995032166,-893.9518867449635,0.0764376078715166,True,True
11274500,0.008167022148338855,-0.8147580898446494,0.3552703174059237,0.00012104481968216909,0.011002037069659831,0.008679594476613832,-7.133345166367869,0.48905600115281705,True,True
12374250,0.009882490770544487,-6.719088853727031,0.11469088304709082,0.0007538741901199472,0.027456769477124346,0.01215800236787922,-0.9999135489216813,0.22112127618383348,True,True
