basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag,neg_basin_flag
01078000,0.004984973625852713,-9.301929981979479,0.08848046321243046,0.0002560025690985537,0.01600008028412838,0.010574619216101226,-1.4624740492569641,0.2642651517756021,True,True
01170100,0.007362651243276811,-7.9316411077122595,0.1006882940245863,0.0004841720578442505,0.022003910058084008,0.009390141984292364,-1.461539613371401,0.5598167163685877,True,True
01195100,0.009691993439698808,-0.5165571701404459,0.3973682822966391,0.00014245739867262494,0.011935551879683861,0.008163306608714565,-10.694166276297954,0.5063902640576128,True,True
02014000,0.004141553396481093,-14.430471415153786,0.06086252638361321,0.00026467061372070696,0.016268700431217822,0.009925626958134214,-2.7713449065543254,0.37477000540722705,True,True
02374500,0.006482397681806576,-8.862562673740417,0.09205930773752304,0.0004144394772347736,0.020357786648719296,0.01669586235295679,-1.0507442724051832,0.4166701592119421,True,True
04063700,0.006272409328713661,-7.876392623623186,0.10125154376792554,0.0003492249693906732,0.01868756188994897,0.01770888511669148,-3.1236130787130723,0.37070335734981785,True,True
06280300,0.0036999121645165537,-44.026231255908286,0.02172674087608753,0.0006163798399749181,0.02482699820709137,0.02435602896407997,-13.980700236801088,0.09282293950907426,True,True
06339500,0.009292393223263444,-11.736372016064687,0.07279942613890335,0.0010997675337013006,0.03316274315706257,0.03187747632490958,-40.3956460870235,0.25093596843292937,True,True
07184000,0.00034239513203574974,-4967.795057605566,0.0002012155407635254,0.0005825138386851323,0.024135323463445282,0.008605651924440504,-69.61144932523291,0.3919877576004107,True,True
07292500,0.003339854037426359,-368.64306591268564,0.002698013512103786,0.004123229780895258,0.0642123802774454,0.02675927335826997,-22.28339850925304,0.0879279571127902,True,True
08380500,0.0016336335265879698,-37.295053832909154,0.025448495483737232,0.00010220025039360093,0.010109413949067518,0.009419447059450952,-1066.4633983790266,0.03017137600624194,True,True
10242000,0.005706232876400874,-1.8500086770994306,0.25973967434104406,9.279939940904394e-05,0.00963324449025581,0.005614256172214972,-1.9384174080142262,0.15522370400641886,True,True
10259200,0.0018813203329935174,-57.510214862676285,0.016803837833682257,0.00020708907656673452,0.014390589861667746,0.001107153744631706,-50.39509783458512,0.46668877281625104,True,True
11151300,0.0005806752936372034,-88.37503642376889,0.01106500245610963,3.0135814106263e-05,0.005489609649716726,0.004066615006402612,-609.7745619072441,0.1341976682472229,True,True
11274500,0.008167022148338855,-2.2523840304743157,0.23516220379758573,0.00021693483043772014,0.014728707697477065,0.01245424202683384,-10.817685014238993,0.5109921012000869,True,True
12374250,0.009862101953813695,-6.5960657723459795,0.11633228810522313,0.0007388013704683274,0.027180900839897257,0.01145463884408558,-0.9643620015071666,0.22173672514806642,True,True
