link,to,gages,Length,lon,lat,gagestr
724696,724684,b'       01013500',2257.0,-68.577705,47.233467,b'       01013500'
2677104,2678276,b'       01022500',498.0,-67.93359,44.60903,b'       01022500'
3923,6087,b'       01030500',1616.0,-68.29976,45.505806,b'       01030500'
1722317,1722313,b'       01031500',2684.0,-69.33078,45.172615,b'       01031500'
3321976,3322000,b'       01047000',3052.0,-69.96316,44.874397,b'       01047000'
19334265,19334485,b'       01052500',1942.0,-71.061745,44.878944,b'       01052500'
6716129,6712535,b'       01054200',927.0,-70.98021,44.391537,b'       01054200'
6709987,6710025,b'       01055000',2504.0,-70.591484,44.645515,b'       01055000'
6711893,6711911,b'       01057000',3285.0,-70.539154,44.299583,b'       01057000'
5845058,5845078,b'       01073000',3386.0,-70.961815,43.152325,b'       01073000'
6731199,166174245,b'       01078000',848.0,-71.74825,43.567513,b'       01078000'
6140826,6141284,b'       01118300',4294.0,-71.83571,41.46464,b'       01118300'
6162583,6163115,b'       01121000',9175.0,-72.16563,41.81253,b'       01121000'
6162981,6163201,b'       01123000',8092.0,-72.05059,41.681126,b'       01123000'
4570675,4571719,b'       01134500',3068.0,-71.83914,44.51031,b'       01134500'
4594599,4594215,b'       01137500',6983.0,-71.617645,44.265244,b'       01137500'
4573927,4573975,b'       01139000',3722.0,-72.05933,44.14926,b'       01139000'
4573939,4573819,b'       01139800',5273.0,-72.34274,44.09547,b'       01139800'
6083547,6083557,b'       01142500',3286.0,-72.66303,43.93586,b'       01142500'
6084505,6084639,b'       01144000',1720.0,-72.41675,43.70536,b'       01144000'
9343363,9343747,b'       01162500',5627.0,-72.117546,42.688725,b'       01162500'
10294784,10294790,b'       01169000',4201.0,-72.71601,42.644726,b'       01169000'
10294622,10294658,b'       01170100',2902.0,-72.670815,42.70671,b'       01170100'
6096297,6096301,b'       01181000',2256.0,-72.89093,42.23609,b'       01181000'
6105951,6105975,b'       01187300',1167.0,-72.93797,42.034462,b'       01187300'
6177558,6177568,b'       01195100',2461.0,-72.531944,41.30697,b'       01195100'
22290373,22290177,b'       01333000',5496.0,-73.199165,42.69914,b'       01333000'
3247466,3247614,b'       01350000',1588.0,-74.43633,42.32285,b'       01350000'
3247464,3247598,b'       01350080',5571.0,-74.40548,42.37792,b'       01350080'
3247552,3247588,b'       01350140',13017.0,-74.521416,42.437912,b'       01350140'
6200212,6200372,b'       01365000',4634.0,-74.48164,41.87166,b'       01365000'
9436435,9436439,b'       01411300',1192.0,-74.822975,39.306126,b'       01411300'
1748583,1748585,b'       01413500',5405.0,-74.654144,42.143627,b'       01413500'
1748611,1748745,b'       01414500',17757.0,-74.657524,42.081245,b'       01414500'
1748589,1748753,b'       01415000',3077.0,-74.81156,42.12457,b'       01415000'
2613578,2613590,b'       01423000',1589.0,-75.14107,42.15888,b'       01423000'
4147946,4147366,b'       01434025',1154.0,-74.498505,41.99704,b'       01434025'
4147956,4148030,b'       01435000',5076.0,-74.60705,41.878056,b'       01435000'
4153168,4153184,b'       01439500',940.0,-75.03372,41.087486,b'       01439500'
4151302,4151818,b'       01440000',2738.0,-74.95703,41.104546,b'       01440000'
4153166,4153230,b'       01440400',2896.0,-75.22148,41.091827,b'       01440400'
4187713,4188005,b'       01451800',9680.0,-75.622925,40.638763,b'       01451800'
4492036,4499256,b'       01466500',3444.0,-74.49819,39.87758,b'       01466500'
8077030,8077598,b'       01484100',4313.0,-75.52904,38.897797,b'       01484100'
8401785,8401381,b'       01485500',1365.0,-75.47119,38.229202,b'       01485500'
8401391,8401801,b'       01486000',5882.0,-75.66648,38.215374,b'       01486000'
8392898,8392902,b'       01487000',298.0,-75.56174,38.72778,b'       01487000'
9407484,9407516,b'       01491000',488.0,-75.785324,38.99816,b'       01491000'
9420683,9420705,b'       01510000',2240.0,-75.89905,42.54846,b'       01510000'
8112305,8112299,b'       01516500',1725.0,-77.008095,41.78822,b'       01516500'
8111873,8111847,b'       01518862',1292.0,-77.52814,41.92409,b'       01518862'
4199144,4198118,b'       01532000',3372.0,-76.48622,41.70816,b'       01532000'
2603023,2602683,b'       01539000',1047.0,-76.43123,41.078598,b'       01539000'
8125917,8125293,b'       01542810',1906.0,-78.28853,41.58534,b'       01542810'
8127529,8127533,b'       01543000',2623.0,-78.19039,41.422512,b'       01543000'
8127609,8127607,b'       01543500',4633.0,-78.12181,41.317677,b'       01543500'
8134650,8134648,b'       01544500',3119.0,-77.82896,41.470154,b'       01544500'
8134878,8134946,b'       01545600',3000.0,-77.69453,41.382683,b'       01545600'
8139414,8139752,b'       01547700',1600.0,-77.60566,41.059612,b'       01547700'
8144622,8144626,b'       01548500',957.0,-77.4485,41.524063,b'       01548500'
8144818,8145130,b'       01549500',2413.0,-77.22679,41.474068,b'       01549500'
8152817,8152831,b'       01550000',1620.0,-77.033676,41.418182,b'       01550000'
8152257,8151187,b'       01552000',3630.0,-76.91909,41.338158,b'       01552000'
8151091,8151115,b'       01552500',2150.0,-76.54445,41.35336,b'       01552500'
4683152,4682494,b'       01557500',1782.0,-78.2366,40.683167,b'       01557500'
4710396,4710428,b'       01567500',2241.0,-77.4022,40.37267,b'       01567500'
4710668,4710634,b'       01568000',2481.0,-77.16374,40.329723,b'       01568000'
4726301,4725927,b'       01580000',2659.0,-76.39815,39.629646,b'       01580000'
11687656,11688320,b'       01583500',6959.0,-76.67441,39.514515,b'       01583500'
11688538,11688556,b'       01586610',748.0,-76.95498,39.451923,b'       01586610'
11907272,11907450,b'       01591400',2084.0,-77.05467,39.257347,b'       01591400'
14365490,14365506,b'       01594950',3972.0,-79.40876,39.281082,b'       01594950'
14364088,14364090,b'       01596500',3492.0,-79.0986,39.57074,b'       01596500'
8423458,8422706,b'       01605500',4693.0,-79.32674,38.64076,b'       01605500'
8423278,8420976,b'       01606500',1870.0,-79.17367,38.993538,b'       01606500'
5892356,5892366,b'       01613050',2126.0,-78.13846,39.902515,b'       01613050'
5909157,5909185,b'       01620500',10056.0,-79.26547,38.362392,b'       01620500'
8441037,8441035,b'       01632000',3162.0,-78.85679,38.635258,b'       01632000'
8441303,8440991,b'       01632900',25762.0,-78.64423,38.647865,b'       01632900'
8440459,8440247,b'       01634500',2322.0,-78.336494,39.08433,b'       01634500'
4505612,4505596,b'       01638480',1417.0,-77.57248,39.258083,b'       01638480'
8449082,8449084,b'       01639500',1641.0,-77.23474,39.611256,b'       01639500'
4507266,4506920,b'       01644000',1283.0,-77.58342,39.018738,b'       01644000'
4529107,4529677,b'       01658500',3143.0,-77.42253,38.58697,b'       01658500'
8465429,8465329,b'       01664000',1034.0,-77.815094,38.530434,b'       01664000'
8468559,8468565,b'       01666500',3790.0,-78.0931,38.326385,b'       01666500'
8467225,8467197,b'       01667500',1640.0,-77.976494,38.352962,b'       01667500'
8479268,8479560,b'       01669000',3280.0,-76.89707,37.876972,b'       01669000'
8457352,8457990,b'       01669520',963.0,-76.69584,37.63063,b'       01669520'
8520617,8520765,b'       02011400',4277.0,-79.88295,38.036083,b'       02011400'
8525587,8524283,b'       02013000',6698.0,-80.0421,37.81112,b'       02013000'
8525619,8524487,b'       02014000',961.0,-80.04143,37.728203,b'       02014000'
8520749,8520543,b'       02015700',3049.0,-79.572395,38.19944,b'       02015700'
8523325,8522117,b'       02016000',4778.0,-79.74694,37.78037,b'       02016000'
8525659,8525401,b'       02017500',1242.0,-80.10731,37.506634,b'       02017500'
8522521,8522503,b'       02018000',526.0,-79.91239,37.666634,b'       02018000'
8547581,8546073,b'       02027000',6368.0,-78.9749,37.72557,b'       02027000'
8549853,8548821,b'       02027500',3626.0,-79.02388,37.70367,b'       02027500'
8547459,8544833,b'       02028500',841.0,-78.82126,37.867935,b'       02028500'
8611825,8612083,b'       02038850',1826.0,-78.63587,37.410465,b'       02038850'
8719481,8718809,b'       02046000',1385.0,-77.59783,37.06504,b'       02046000'
8744593,8743361,b'       02051000',642.0,-78.350006,36.99889,b'       02051000'
8741021,8741019,b'       02051500',1010.0,-77.82721,36.718323,b'       02051500'
8746117,8746119,b'       02053200',5539.0,-77.02319,36.372818,b'       02053200'
8629303,8628719,b'       02053800',5267.0,-80.25741,37.152744,b'       02053800'
8627131,8623691,b'       02055100',3545.0,-79.93031,37.408085,b'       02055100'
8626863,8626867,b'       02056900',3652.0,-79.84544,37.04866,b'       02056900'
8627301,8625791,b'       02059500',1093.0,-79.51983,37.172382,b'       02059500'
8647998,8648006,b'       02064000',1912.0,-78.955154,37.120228,b'       02064000'
8648830,8648280,b'       02065500',3028.0,-78.756035,37.08728,b'       02065500'
8675163,8675135,b'       02069700',9292.0,-80.12535,36.564716,b'       02069700'
8673051,8673171,b'       02070000',2486.0,-79.98152,36.568436,b'       02070000'
8673535,8673537,b'       02074500',603.0,-79.50251,36.619267,b'       02074500'
8701361,8700875,b'       02077200',10667.0,-79.20333,36.392406,b'       02077200'
8760623,8759151,b'       02081500',1913.0,-78.57831,36.194164,b'       02081500'
10511316,10510478,b'       02082950',5112.0,-77.87054,36.197292,b'       02082950'
10976591,10977039,b'       02092500',1373.0,-77.45833,35.064842,b'       02092500'
8895436,8895542,b'       02096846',1038.0,-79.204254,35.988342,b'       02096846'
8849951,8849829,b'       02102908',3991.0,-79.1809,35.17252,b'       02102908'
10525935,10525953,b'       02108000',1122.0,-77.83506,34.831055,b'       02108000'
9251726,9251300,b'       02111180',2868.0,-81.40535,36.07387,b'       02111180'
9250814,9250818,b'       02111500',3318.0,-81.166885,36.18234,b'       02111500'
9233605,9234691,b'       02118500',731.0,-80.74604,36.003338,b'       02118500'
9210446,9211186,b'       02128000',538.0,-79.82966,35.388836,b'       02128000'
9754776,9754772,b'       02137727',672.0,-82.05986,35.6862,b'       02137727'
9752476,9752546,b'       02140991',1171.0,-81.71119,35.832695,b'       02140991'
9745122,9745076,b'       02143000',2607.0,-81.39374,35.68989,b'       02143000'
9745600,9745570,b'       02143040',2697.0,-81.56294,35.59076,b'       02143040'
12036581,12036605,b'       02149000',1655.0,-82.11803,35.4274,b'       02149000'
12034181,12034215,b'       02152100',3117.0,-81.68242,35.48832,b'       02152100'
