downstream,upstream,gage
10025778,10025552,09404450
10115408,10115426,06911900
10116938,10116352,06910800
1017863,1017827,07346045
10294658,10294406,01170100
10294790,10294626,01169000
10300593,10300449,03300400
10339194,10338400,03346000
10396901,10397011,10172700
10510478,10510144,02082950
10525953,10525859,02108000
1057297,1056385,02221525
10606012,10605312,05444000
10634089,10633089,08194200
10645757,10645735,08196000
10645809,10644353,08195000
10646927,10645777,08198500
10654655,10653703,08200000
10655699,10653993,08202700
10819236,10818088,10173450
10833752,10834562,08178880
10977039,10977081,02092500
11015951,11020017,02231342
11049784,11050330,03049800
11136380,11136384,10329500
11468876,11468736,06470800
11654354,11655232,06464500
11673184,11673162,06453600
11688320,11687520,01583500
11688556,11691276,01586610
11730052,11730240,02196000
11817455,11817857,07056000
11834170,11830276,07060710
11868290,11868036,03384450
11907450,11907138,01591400
11916237,11915329,05454000
11930608,11931162,04040500
11937967,11937879,04043050
11959342,11958208,04057800
12034215,12032883,02152100
12036605,12036387,02149000
12068316,8020636,11381500
12069362,8020836,11383500
12103728,12103552,03180500
12105172,12104320,03182500
12120376,12120294,04124000
1215111,1215041,10234500
12186625,12186689,04045500
12222394,12221912,04056500
12232336,12232932,04115265
1238069,1238283,09035900
12502971,12503645,04127997
12570206,12570212,06468170
12576066,12576210,06468250
12664628,12664866,06477500
12770867,12771717,06289000
12788120,12788546,06280300
12804154,12804926,06278300
12900470,12900560,06224000
12901000,12900184,06221400
12981415,12981677,05362000
1314057,1314049,09047700
1318986,1318874,394220106431500
1319236,1319616,09066300
1319264,1319776,09066200
1326129,1326473,09081600
13313347,13312737,05412500
13324444,13324096,05414000
13324644,13324326,05413500
1333580,1333570,09107000
13399933,13400867,05393500
13454034,13454240,05525500
13624581,13624329,05408000
13660337,13660585,07315200
13698839,13698793,08079600
13740009,13739905,07299670
13753663,13752865,07301410
13756263,13755457,07301500
13771078,13771010,05591550
13771804,13771626,05592050
13781558,13781248,05595730
13802764,13802584,05584500
13803636,13803408,05585000
13869102,13869752,05592575
13872672,13872962,05593575
13881458,13881896,05593900
14156822,14160006,05123400
14172507,14176033,05120500
14267518,14267570,05056000
14268912,14269560,05057000
14269114,14269192,05057200
14364090,14362974,01596500
14396122,14396222,06404000
14396296,14396550,06406000
14597039,14599689,10242000
14733222,14733088,05399500
14836139,14834965,05556500
1487590,1487458,08066200
14882597,14882607,11253310
14883275,14883287,11224500
1493958,1487608,08066300
15078400,15077184,08014500
15085613,15084029,08013000
1520079,1519917,08070200
1520241,1519973,08070000
15380059,15379873,03144000
15513296,15514848,04256000
15547875,15549957,04224775
15550119,15550089,04221000
15569747,15569491,04216418
15612418,15610336,04197100
15613810,15613914,04196800
15662066,15661856,04185000
15894414,15894440,09484600
15907989,15907731,09480000
15968453,15970281,06632400
15984777,15986253,06623800
16131669,16132449,06440200
16213240,16213218,06350000
1623227,1623009,08175000
16233377,16233283,06344600
16247337,16247737,06339500
16248121,16247075,06339100
1631031,1630229,08171300
1638575,1638591,08176900
166174245,6731001,01078000
16662827,16663077,02245500
166743977,2000058,02315500
16806507,16806273,02296500
16807517,16812529,02297310
16808203,16808131,02298123
16837126,16836994,02298608
16877262,16875558,02299950
16949660,16950032,02312200
16955674,16953920,02310947
17034219,17032873,09352900
1722313,1722913,01031500
17356977,17356783,06784000
17399475,17399393,06803530
17405835,17405859,06803510
17533791,17534315,06409000
17611573,17609959,11124500
17688129,17688057,11162500
17826718,17826432,08324000
17864362,17864344,08269000
1799885,1804801,04024430
18070114,18069508,02481000
18075848,18070528,02481510
18094325,18094177,02479560
18105240,18104804,02479155
18106868,18106696,02479300
1813283,1814593,04027000
18154273,18155953,02472000
18156767,18156581,02472500
18208372,18208240,02465493
18227153,18227015,02464000
18227465,18226865,02464360
18260323,18260353,02231000
1827300,1828158,03285000
18354205,18354371,09210500
18450629,18450595,03366500
18578815,18578697,02450250
18693133,18692107,02430085
18880764,18880504,06878000
18927902,18927760,07375000
19017107,19017025,06853800
19104903,19105061,07295000
19110782,19108348,07291000
19112974,19112604,07292500
19138465,19137921,07290650
19158244,19157986,06814000
1919682,1919352,03237500
19334485,19334623,01052500
19439919,19439553,03159540
19489966,19490090,03463300
19506226,19504938,03604000
19621434,19620088,03574500
19735939,19736003,03500000
19735939,19736003,03500240
19736013,19736215,03504000
19743826,19743620,03479000
19751209,19751297,03471500
19751693,19751745,03473000
19761978,19761250,03488000
1997546,1997472,02314500
20026253,20026045,07226500
20091016,20089922,07376000
