gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
05413500,0.5225279083255971,265.84,1,0.06,0.03823,0,0.12,3.554215,10.662644,0.6669507,2.132529,-90.875336,42.7215,0.0003322431011513,0.0981573843265572,0.0217105390750718,0.5199383615195908,184.74,5,0.05,8e-05,0,0.1,23.7561,71.268295,0.28847572,14.253659,-90.763954,42.6824,0.0002098682101968,0.0900277854087536,0.0218198272955431
04040500,0.3100343741642479,456.57,1,0.06,0.02595,0,0.12,2.4817774,7.4453325,0.78146374,1.4890665,-88.55433,46.569904,4.731099603769309e-05,0.039245526945032,0.012397762734733,0.3093720444748231,357.72,4,0.055,0.00931,0,0.11,19.470055,58.410164,0.3149419,11.682033,-88.58793,46.57933,7.710615771737407e-06,0.0148525796066899,0.0026558845546608
04043050,0.2995275675865737,225.2,3,0.055,0.0039,0,0.11,8.034909,30.0,0.46538523,4.8209453,-88.36218,47.274086,0.0006526592457297,0.1600065395231867,0.0342433340717457,0.2971487544714224,194.85,3,0.055,0.00509,0,0.11,10.826724,32.48017,0.40801218,6.4960346,-88.38821,47.2249,2.9607873231270736e-05,0.0292252969395545,0.0062967739780985
03182500,0.6411310289906227,805.41,1,0.06,0.04173,0,0.12,4.4875875,13.462762,0.6017501,2.6925526,-80.12381,38.209007,0.0006174226430544,0.1681008244575513,0.0325895118838554,0.6404198489594123,637.24,4,0.055,0.00013,0,0.11,28.642637,85.92792,0.26562506,17.185583,-80.127174,38.180527,0.0001423264409942,0.0764729730636698,0.0125126630561246
09065500,0.5468775566771428,3554.96,1,0.06,0.11277,0,0.12,4.562773,13.688319,0.5973552,2.737664,-106.1835,39.619442,0.0006611129876024,0.136323988429133,0.0413369921197023,0.5445876508602108,2613.11,3,0.055,0.02118,0,0.11,11.491417,34.47425,0.3974267,6.8948503,-106.28988,39.631924,0.000607965070546,0.1543882276610049,0.0232238590350356
09404450,0.300386785840001,1946.63,2,0.06,0.03576,0,0.12,10.560752,31.682257,0.41251412,6.3364515,-112.58517,37.378155,0.0001087711870337,0.0647907934113606,0.0128146828189871,0.2990321521653501,1774.44,3,0.055,0.01501,0,0.11,15.164956,45.49487,0.35164914,9.098973,-112.60137,37.32338,0.0002037513078064,0.1057699895441809,0.01291276987676
06911900,0.545115541024269,322.28,2,0.06,0.00496,0,0.12,4.166014,12.498043,0.6218171,2.4996085,-95.857956,38.712498,8.417063290228736e-05,0.0613203669077207,0.0103814608639237,0.5448299339513856,312.73,5,0.05,0.00095,0,0.1,16.958294,70.0,0.33472985,10.174976,-95.83078,38.70811,0.0001469793750943,0.0793100133575036,0.0152077724875394
05585000,0.4407482217927332,168.94,1,0.06,0.00636,0,0.12,4.6495504,13.948651,0.5924107,2.7897303,-90.68837,40.00972,0.0007025616021873,0.2017454414514469,0.0295654001928126,0.4385982451779827,136.84,5,0.05,1e-05,0,0.1,38.58927,115.767815,0.23289339,23.153563,-90.616234,40.027267,0.0001129040721992,0.0740611689693775,0.0145984026855998
03340800,0.4768301696268038,234.11,2,0.06,0.00248,0,0.12,10.463218,31.389652,0.4142062,6.2779303,-86.83179,39.87449,0.0009075980841288,0.2275368898744748,0.0214671922785571,0.4701922737886028,208.39,3,0.055,0.00108,0,0.11,19.893608,59.680824,0.31196585,11.936165,-86.973854,39.784416,0.0029749340182606,0.3497307971899903,0.0666713503104547
09066000,0.5469118793956866,3202.8,1,0.06,0.05559,0,0.12,3.5968869,10.790661,0.6634483,2.158132,-106.22047,39.544525,0.0001483475618939,0.1055644117978107,0.0044757743676111,0.545504091041355,2781.6,3,0.055,0.03794,0,0.11,8.904731,30.0,0.44475266,5.342839,-106.27228,39.6027,0.0003295736581904,0.1376394457957343,0.0099944744873736
